user_played, instrument_name, velocity, pitch, start (s), end (s)
True,piano,80,75,0.8695660000000001,1.0751821270833335
True,piano,80,75,1.0869575,1.2925736270833335
True,piano,80,73,1.3043490000000002,1.5099651270833334
True,piano,80,72,1.5217405000000002,1.7273566270833336
True,piano,80,70,1.7391320000000001,2.1512700520833334
False,piano,80,49,1.7391320000000001,2.3577919770833335
True,piano,80,68,2.173915,2.586053052083334
False,piano,80,49,2.3913065000000002,2.5969226270833334
True,piano,80,75,2.6086980000000004,2.8143141270833336
False,piano,80,56,2.6086980000000004,3.0208360520833337
False,piano,80,61,2.6086980000000004,3.0208360520833337
True,piano,80,75,2.8260895,3.031705627083334
True,piano,80,73,3.0434810000000003,3.2490971270833335
False,piano,80,49,3.0434810000000003,3.4556190520833336
True,piano,80,72,3.2608725000000005,3.4664886270833337
True,piano,80,70,3.4782640000000002,4.303445902083333
False,piano,80,48,3.4782640000000002,4.096923977083334
False,piano,80,48,4.1304385,4.336054627083334
True,piano,80,75,4.34783,4.553446127083334
False,piano,80,55,4.34783,4.759968052083334
False,piano,80,60,4.34783,4.759968052083334
True,piano,80,75,4.565221500000001,4.770837627083334
True,piano,80,73,4.7826130000000004,4.832431885416667
False,piano,80,48,4.7826130000000004,5.194751052083334
True,piano,80,75,4.836960875000001,4.886779760416667
True,piano,80,73,4.89130875,4.9411276354166676
True,piano,80,75,4.945656625000001,4.995475510416667
True,piano,80,72,5.0000045,5.205620627083333
True,piano,80,70,5.217396000000001,5.629534052083334
False,piano,80,53,5.217396000000001,5.836055977083334
True,piano,80,68,5.652179,5.8577951270833335
True,piano,80,68,5.869570500000001,6.075186627083334
False,piano,80,53,5.869570500000001,6.075186627083334
True,piano,80,75,6.086962000000001,6.292578127083334
False,piano,80,60,6.086962000000001,6.4991000520833335
False,piano,80,65,6.086962000000001,6.4991000520833335
True,piano,80,75,6.3043535,6.509969627083334
True,piano,80,73,6.521745000000001,6.727361127083334
False,piano,80,53,6.521745000000001,6.933883052083334
True,piano,80,72,6.739136500000001,6.944752627083334
True,piano,80,70,6.9565280000000005,7.575187977083334
False,piano,80,51,6.9565280000000005,7.575187977083334
True,piano,80,68,7.608702500000001,7.814318627083334
False,piano,80,51,7.608702500000001,7.814318627083334
True,piano,80,75,7.826094,8.031710127083334
False,piano,80,58,7.826094,8.238232052083335
False,piano,80,63,7.826094,8.238232052083335
True,piano,80,75,8.043485500000001,8.249101627083334
True,piano,80,75,8.260877,8.324282854166668
False,piano,80,51,8.260877,8.673015052083334
True,piano,80,77,8.325188652083334,8.530804779166667
True,piano,80,72,8.4782685,8.683884627083334
True,piano,80,72,8.69566,9.107798052083334
False,piano,80,49,8.69566,9.314319977083334
True,piano,80,70,9.130443000000001,9.336059127083335
True,piano,80,68,9.347834500000001,9.553450627083334
